id,name,promptFragment
af5de8fc-23c8-456c-8b90-599188950ebd,Moody & Bold (Patterned),"Moody and bold aesthetic with deep, rich colors like navy blue, forest green, or charcoal. Statement flooring with bold, patterned encaustic or geometric tiles. Metallic accents (brass or gold) adding luxury. Dramatic, sophisticated atmosphere."
bbbdc645-41e8-4afe-96b6-a6b964148e6a,Nordic Serenity Balcony,"Nordic serenity aesthetic combining modern minimalism with Scandinavian warmth and functionality. Bright, airy color palette dominated by crisp whites, pale greys, and light blonde wood with soft pastels or earth tones. Materials include light wood, woven natural fibers (rattan, wool), and matte ceramics. Ergonomic, simple, multi-functional furniture. Soft, diffused natural light creating inviting, serene atmosphere."
8750e960-7ca9-459d-ac22-20b4d815947a,Photorealistic Rendering (Sketch-to-Reality),"Photorealistic interpretation transforming rough sketches into high-quality realistic images. Realistic details, textures, and lighting filling in conceptual gaps. Sketched outlines become real objects with authentic materials. Professional visualization quality."
f9658041-3eef-441d-8d7b-d502efcb0416,Realistic 3D (Orthographic),"High-quality photorealistic 3D floor plan rendering with orthographic top-down view. Realistic textures (wood flooring, tiles), soft global illumination shadows, and ambient occlusion showing depth. Modern furniture proportionally scaled. Professional architectural presentation."
7701a5e2-f96a-4ccb-a6f0-a4b7b621d638,Restoration / Declutter,"General restoration and declutter aesthetic removing mess and wear-and-tear. Repaired surfaces (walls, floors) made fresh and clean. Bright, natural lighting enhancement. Existing style preserved while making space look new, maintained, and pristine."
2dcb5faf-0d0a-45b1-9013-ed064cd722de,Retro Arcade (80s),"Retro 1980s arcade aesthetic with bold patterns like checkered surfaces or neon-printed textures. Vintage arcade cabinet and pinball machine styling. Vibrant, colorful lighting creating nostalgic, energetic mood. Fun, playful atmosphere with retro gaming character."
fa1ebe18-ae36-45a2-8536-8ca2177689a4,Rustic Beam Cabin,"Rustic cabin retreat aesthetic highlighting heavy exposed wooden beams. Warm wood paneling on ceilings or walls. Cozy, hearty textiles like wool and plaid patterns. Warm, enclosed, and safe atmosphere with mountain lodge character."
42752226-ef95-4f18-950f-a301eb18dff9,Rustic Outdoor Living (Pergola),"Rustic outdoor living aesthetic with wooden pergola structures providing shade and definition. Natural flagstone surfaces. Stone features like fireplaces or pizza ovens. Large, sturdy wooden furniture. Natural, established outdoor character."
9fc01dca-82a4-4b5a-a782-50ea0aa449e6,Scandi / Japandi Focus,"Scandi-Japandi aesthetic with light-colored woods (ash/oak) and soft textiles (linen). Natural light emphasis with indoor plants for wellness. Soft, warm, and neutral color palette. Calm, focused atmosphere blending Nordic and Japanese sensibilities."
7abf4158-a1cf-4736-93cf-82d3339ad4f5,Scandi Minimalist,"Scandinavian minimalist aesthetic with light woods (ash or white oak) and simple forms. Round or oval furniture shapes softening spaces. Minimal decor—perhaps a single vase with branches. Soft, diffused lighting from paper or matte metal fixtures. Clean, warm simplicity."
9b6b9bbf-8dae-4e7e-8757-1a9fc10fa760,Scandi Neutral (Nursery),"Scandinavian neutral aesthetic with soothing palette of creams, warm greys, and soft sage greens. Light wood furniture and natural textures like wool and sheepskin. Calm, bright, and uncluttered atmosphere. Gentle, nurturing environment."
0f83a83e-a0b4-4349-855a-95a355160d64,Scandi (Scandinavian),"Scandinavian design aesthetic with light-colored woods (ash or pine), soft neutral colors, and cozy textures (wool, linen). Functionality and hygge atmosphere prioritized. Botanical accents and simple, elegant furniture. Warm, inviting Nordic character."
335be73a-495b-47d6-be14-be6654694de7,Spanish / Mediterranean,"Spanish Mediterranean aesthetic with warm white or cream stucco textures. Red terracotta barrel tile roofing. Arched architectural elements, wrought iron details, and decorative tile work. Warm, sun-drenched character with Old World charm."
e3e63dbc-4af7-4433-9410-dbbe78c24881,Tech Startup (Open Plan),"Modern tech startup aesthetic with open-plan layouts and shared work surfaces. Industrial elements like polished concrete floors and exposed ceilings. Acoustic baffles or clouds overhead. Pops of vibrant color and collaborative breakout zones. Energetic, innovative atmosphere."
6b4e0b5a-d988-4f16-bc45-1c00afc58d9d,Traditional Elegant (Runner),"Traditional elegant aesthetic contrasting dark wood with crisp white painted elements. Patterned carpet runners secured with metallic stair rods (brass or nickel). Classic turned spindles and balusters. Timeless, refined character with careful craftsmanship."
283a435a-6bfc-41e5-84f3-27e5f6678e0b,Tropical Lagoon,"Tropical lagoon aesthetic with freeform, organic shapes rather than geometric forms. Natural boulders and waterfall features. Darker finishes creating deep, ocean-like appearances. Dense tropical landscaping. Exotic, resort-like paradise atmosphere."
3646d1e5-38f4-4835-8c7a-38a5621822a5,Urban Lounge,"Urban rooftop lounge aesthetic focusing on views with seamless glass railings. Social zones with sectional seating and fire features. Ambient lighting (string lights, lanterns) for evening atmosphere. Bar and entertaining areas. Sophisticated urban outdoor living."
0f5139ee-7912-4fea-8547-1452e65bd1fa,Urban Zen Balcony,"Urban zen aesthetic embodying serene, nature-inspired minimalism. Muted color palette of cool whites, soft greys, and natural wood tones with subtle muted greens from planting. Materials include smooth concrete, light oak or bamboo, and woven textures. Low-profile, organic furniture with clean lines. Soft, indirect lighting enhancing tranquil atmosphere with integrated planters and lush foliage."
6573d29f-e1df-4d89-84e9-da06ba09d415,Vintage Traditional,"Vintage traditional aesthetic with classic elements like clawfoot fixtures, pedestal forms, and wainscoting on lower walls. Black and white patterned floor tiles. Chrome cross-handle hardware completing the timeless look. Nostalgic, elegant character."
962d1d4f-dd84-49be-9514-dab8972351cf,Watercolor Illustration,"Artistic watercolor architectural illustration style with white paper texture background. Soft edges, pastel color washes, and hand-painted aesthetic. Landscape and plants highlighted with soft greens, living areas with warm tones. Artistic, conceptual presentation."
744b47a3-8de0-4bde-b062-7d424e9cc8fd,Whimsical Fairytale,"Whimsical fairytale aesthetic with soft pastel color palette (blush pinks, powder blues, lavenders). Magical elements like wall murals (clouds, forests), canopy structures, and house-frame furniture. Soft accent lighting like fairy lights creating dreamy, enchanted vibe."
8c373ec6-f02b-4a06-8ce1-ce47f0e4573b,Wireframe Tech (Holographic),"Technical wireframe rendering aesthetic with dark background. All edges and furniture outlined in glowing blue or white lines simulating CAD software or holographic projection. Structure emphasized over texture. Futuristic, digital visualization."
79ee68c9-9faa-4353-bb71-4c4d1a64bc2b,Xeriscaping (Desert Modern),"Xeriscape desert modern aesthetic replacing water-hungry elements with decorative gravel or decomposed granite. Drought-tolerant species like agave, yucca, and succulents. Corten steel or concrete planters for architectural structure. Sustainable, sculptural landscape design."
67ba2bad-472a-4202-8829-6d0e6e076a6e,Zen Garden (Japanese),"Japanese zen garden aesthetic with elements like raked sand or gravel representing water. Deliberately placed large, mossy rocks. Japanese maples, bamboo, and shaped evergreens. Asymmetry, balance, and tranquility. Meditative, contemplative atmosphere."
9db38f5d-5b60-4937-87c2-9eb6dbf647ec,Zen Yoga Studio,"Zen yoga studio aesthetic focusing on serenity and mindfulness. Warm, light wood flooring and soft white walls. Natural elements like indoor plants and abundant natural light. Open, uncluttered layouts dedicated to movement and meditation. Peaceful, grounding atmosphere."
