name,supportedImageTypes,promptFragment
Boho Chic,"['interior_bedroom', 'interior_living_room', 'interior_kids_room', 'interior_attic']","Design this bedroom in a Boho Chic style. Use natural materials like rattan, wicker, and light wood. Layer different patterns in the rug and pillows. Add an abundance of plants and perhaps a macramé wall hanging. Keep the vibe relaxed, earthy, and free-spirited."
Modern Spa (Zen/Japandi),"['interior_bathroom', 'interior_sauna', 'interior_pool']","ransform this bathroom into a Modern Spa sanctuary. Use natural materials like teak wood, slate, or river stone. Center the design around a freestanding soaking tub if space permits. Use soft, warm ambient lighting and include greenery to create a calming, Zen-like atmosphere."
Sleek Minimalist,"['interior_bathroom', 'interior_laundry_room', 'interior_kitchen']","Apply a Sleek Minimalist design. Focus on clean lines and hygienic surfaces. Use large-format tiles in neutral tones (white or light grey). Install a floating vanity and a frameless glass walk-in shower to maximize the sense of space. Bright, cool-toned lighting."
Luxury Glamour (Marble),"['interior_bathroom', 'interior_walkin_closet', 'interior_entryway']","Design a Luxury Glamour bathroom. Use floor-to-ceiling marble or porcelain tile (Calacatta or Carrara style). Accessorize with brushed gold or brass fixtures (faucets, showerheads). Include elegant lighting features. The goal is a high-end, 5-star hotel suite aesthetic."
Industrial Chic,"['interior_bathroom', 'interior_kitchen', 'interior_laundry_room']","Create an Industrial Chic bathroom. Use white subway tiles with dark grout. distinct black metal accents, particularly for the shower enclosure (Crittall style grid) and faucets. Incorporate raw textures like concrete for the floor or sink area."
Vintage Traditional,"['interior_bathroom', 'interior_entryway']","Redesign this space in a Vintage Traditional style. Incorporate classic elements like a clawfoot bathtub, a pedestal sink, and wainscoting on the lower walls. Use black and white patterned floor tiles and chrome cross-handle faucets to complete the timeless look."
Modern Farmhouse,"['interior_dining_room', 'interior_kitchen', 'interior_living_room', 'exterior_porch']","Redesign this dining room in a Modern Farmhouse style. Center the room around a substantial, rustic wooden dining table. Pair it with black timber chairs (e.g., Windsor style) or a bench. Use an iron linear chandelier or lantern lighting. Keep walls bright (white or cream) with optional shiplap texture."
Mid-Century Style Dining,"['interior_dining_room', 'interior_living_room', 'interior_office']",Apply a Mid-Century Modern aesthetic. Use a walnut or teak dining table with tapered legs. Surround it with iconic chair designs (like Wishbone or molded plastic shell chairs). Install a statement light fixture (sputnik or globe style). Keep the vibe retro-chic and sophisticated.
Formal Traditional,"['interior_dining_room', 'interior_entryway', 'commercial_restaurant']",Create a Formal Traditional dining room. Use a polished dark wood table (mahogany or cherry). Select high-back upholstered chairs for comfort and elegance. Incorporate classic architectural details like wainscoting and crown molding. Use a crystal chandelier as the centerpiece.
Scandi Minimalist,"['interior_dining_room', 'interior_kitchen', 'interior_kids_room']",Design a Scandinavian Minimalist dining area. Focus on light woods (ash or white oak) and simple forms. Use a round or oval table to soften the space. Keep decor minimal—perhaps a single vase with branches. Ensure the lighting is soft and diffused (paper or matte metal pendants).
Industrial Loft Dining,"['interior_dining_room', 'interior_kitchen', 'commercial_restaurant', 'interior_game_room']",Transform this into an Industrial dining space. Use a table that combines raw wood (live edge) with heavy metal legs. Pair with metal chairs (like Tolix style) or leather bench seating. Feature exposed elements like brick walls or filament bulb lighting.
Modern Productivity Office (Minimalist),"['interior_office', 'interior_bedroom', 'commercial_office']","Design a Modern Minimalist home office. Focus on a distraction-free environment with clean lines and a white or neutral color palette. Include a sleek desk and a high-quality ergonomic office chair. Keep clutter to a minimum, utilizing hidden storage or simple floating shelves."
Executive Library (Traditional),"['interior_office', 'interior_media_room', 'interior_living_room']","Transform this space into an Executive Library style office. Use rich, dark wood tones (walnut or mahogany) for the desk and shelving. Incorporate built-in bookshelves. Select a substantial leather chair (tufted or high-back). Aim for a scholarly, authoritative, and timeless atmosphere."
Industrial Creative Studio,"['interior_office', 'interior_game_room', 'commercial_office', 'interior_attic']","Create an Industrial Creative Studio. Use raw materials like a reclaimed wood desk on metal trestle legs. Feature exposed brick or concrete elements. Include vintage industrial lighting (architect lamps). The vibe should be energetic, raw, and functional."
Scandi / Japandi Focus,"['interior_office', 'interior_bedroom', 'interior_sunroom']","Apply a Scandi / Japandi aesthetic to this workspace. Use light-colored woods (ash/oak) and soft textiles (linen curtains or rugs). distinct natural light and add indoor plants to reduce stress. Keep the color palette soft, warm, and neutral."
Boho Creative,"['interior_office', 'interior_bedroom', 'interior_kids_room']","Design a Bohemian Creative workspace. Use a vintage or mid-century wooden desk. Layer the room with texture: a patterned rug, a gallery wall of art prints, and hanging plants. The atmosphere should be personal, eclectic, and inspiring."
Scandi Neutral (Nursery),"['interior_kids_room', 'interior_bedroom', 'interior_empty']","Design a Scandi Neutral nursery. Use a soothing palette of creams, warm greys, and soft sage greens. Incorporate light wood furniture (crib, changing table) and natural textures like wool and sheepskin. Keep the atmosphere calm, bright, and uncluttered."
Whimsical Fairytale,"['interior_kids_room', 'interior_bedroom']","Create a Whimsical Fairytale room. Use a soft pastel color palette (blush pinks, powder blues, lavenders). Incorporate magical elements like wall murals (clouds, forests), canopy beds, or house-frame beds. Add soft accent lighting like fairy lights to create a dreamy vibe."
Modern Playful (Primary Colors),"['interior_kids_room', 'interior_game_room', 'interior_bedroom']","Design a Modern Playful room. Use a clean white backdrop popped with bold primary colors (red, blue, yellow) or geometric shapes. Select modern, functional furniture like bunk beds or modular storage. The vibe should be energetic, fun, and stimulating."
Jungle Adventure,"['interior_kids_room', 'interior_bedroom', 'interior_game_room']","Transform this room into a Jungle Adventure theme. Use deep greens and earthy browns. Incorporate botanical or animal-themed wallpaper. Add adventurous elements like a canvas teepee, wooden accents, and animal-themed decor. Create a wild but cozy hideout."
Montessori Minimalist,"['interior_kids_room', 'interior_bedroom']","Apply a Montessori Minimalist design philosophy. Everything should be accessible to the child. Use a low floor bed and low, open shelving for toys and books. Keep the room spacious and uncluttered to foster independence and focus. Use neutral, calming colors."
" Boutique Luxury (The ""Dream Closet"")","['interior_walkin_closet', 'commercial_retail', 'interior_bedroom']",Transform this space into a Boutique Luxury closet. Design it to feel like a high-end fashion retail store. Include a central island with storage. Use glass-fronted cabinets to display clothing. incorporate integrated LED lighting for shelves and a statement chandelier. Use premium finishes like marble and white lacquer.
Modern Minimalist Closet,"['interior_walkin_closet', 'interior_bedroom']",Apply a Modern Minimalist design. Focus on clean lines and concealed storage. Use flat-panel cabinetry in white or light grey. Ensure the layout is highly organized with a place for everything. Keep the aesthetic airy and clutter-free.
Dark & Moody (Gentleman's Wardrobe),"['interior_walkin_closet', 'interior_bedroom', 'commercial_retail']","Design a 'Gentleman's Wardrobe' style closet. Use dark, rich materials like walnut or espresso-stained wood. Paint walls in charcoal or navy. Include masculine accents like leather seating and focused track lighting to highlight clothing textures."
Industrial Open System,"['interior_walkin_closet', 'interior_bedroom', 'commercial_retail']","Create an Industrial Open closet system. Use black metal piping for hanging rods and reclaimed wood for open shelving. Expose the walls behind (brick or concrete if possible). Avoid heavy cabinetry in favor of an open, airy, retail-display look."
Modern Farmhouse Laundry Room,"['interior_laundry_room', 'interior_entryway', 'interior_kitchen']","Design a Modern Farmhouse utility space. Use white shiplap walls and shaker-style cabinetry (white, sage green, or navy). Include rustic accents like a wooden bench, woven storage baskets, and a ceramic farmhouse sink. Keep it cozy but highly functional."
Clean & Bright (Minimalist Utility),"['interior_laundry_room', 'interior_bathroom']","Apply a Clean & Bright Minimalist aesthetic. Use an all-white or very light palette to emphasize hygiene and cleanliness. Install flat-panel cabinetry and white stone countertops. Ensure appliances are stacked or integrated seamlessly. Maximize bright, cool lighting."
Moody & Bold (Patterned),"['interior_laundry_room', 'interior_bathroom', 'interior_entryway']","Create a Moody & Bold utility room. Use deep, rich cabinet colors like navy blue, forest green, or charcoal. Pair this with statement flooring—specifically bold, patterned encaustic or geometric tiles. Add metallic accents (brass or gold) for a touch of luxury in a small space."
Coastal Fresh,"['interior_laundry_room', 'interior_bathroom', 'interior_sunroom']","Redesign this space with a Coastal Fresh vibe. Use a palette of crisp whites and soft sky blues. Incorporate beadboard textures on walls or cabinets. Use light wood flooring to keep the room feeling airy and breezy, evoking a sense of freshness."
Luxury Fitness Club (Equinox Style),"['interior_home_gym', 'commercial_lobby', 'interior_bathroom']","Design a Luxury Fitness Club aesthetic. Use a dark, moody color palette (charcoal, black, dark wood). Install full-wall mirrors to expand the space. Incorporate architectural lighting (LED strips, recessed lighting). Use sleek, high-end black equipment to mimic an exclusive gym atmosphere."
ndustrial CrossFit / Garage Gym,"['interior_home_gym', 'interior_game_room', 'exterior_backyard']","Create an Industrial CrossFit style gym. Embrace the raw structure—exposed brick, concrete floors, and open ceilings. Use heavy-duty functional equipment like squat racks and kettlebells. Install rubber flooring mats. The vibe should be gritty, energetic, and utilitarian."
Zen Yoga Studio,"['interior_home_gym', 'interior_sunroom', 'interior_bedroom', 'interior_empty']","Transform this space into a Zen Yoga Studio. Focus on serenity and mindfulness. Use warm, light wood flooring and soft white walls. Incorporate natural elements like indoor plants and natural light. Keep the space open and uncluttered, dedicated to movement and meditation."
High-Tech Minimalist (Peloton Style)High-Tech Minimalist (Peloton Style),"['interior_home_gym', 'interior_office', 'interior_living_room']","Apply a High-Tech Minimalist design. Keep the room ultra-clean with white walls and crisp lighting. Focus on smart technology—large screens, smart bikes, or treadmills. Remove visual clutter. The aesthetic should feel futuristic, sharp, and motivated."
Classic Pub | Billiard Room,"['interior_game_room', 'interior_dining_room', 'commercial_restaurant']","Transform this space into a Classic Pub & Billiard Room. Use rich, dark woods for wainscoting and bar areas. Center the room around a pool table or poker table. Incorporate leather seating and vintage-style lighting. The atmosphere should be warm, masculine, and club-like."
Industrial Man Cave,"['interior_game_room', 'interior_home_gym', 'commercial_restaurant']","Design an Industrial Man Cave. Embrace raw construction elements like concrete floors and exposed ceiling beams. Add fun elements like neon signage and game tables (foosball, air hockey). Use sturdy metal and wood furniture. Perfect for watching sports and entertaining."
Retro Arcade (80s),"['interior_game_room', 'interior_media_room', 'commercial_retail']","Create a Retro Arcade theme. Draw inspiration from 1980s arcades. Use bold patterns like checkered flooring or neon-printed carpets. Line the walls with vintage arcade cabinets or pinball machines. Use vibrant, colorful lighting to create a nostalgic, energetic mood."
Modern Family Rec Room,"['interior_game_room', 'interior_living_room', 'interior_kids_room']","Design a Modern Family Rec Room. Prioritize versatility for both adults and kids. Use durable, comfortable furniture like a large sectional. Include plenty of built-in storage for toys and games. Keep the color palette bright, neutral, and inviting"
Botanical Conservatory,"['interior_sunroom', 'exterior_garden', 'exterior_patio']","Design a Botanical Conservatory. Fill the space with lush greenery—large potted plants, hanging ferns, and trailing vines. Use natural flooring materials like terracotta or slate. Furnish with vintage metal or weathered wood pieces to create an established, greenhouse atmosphere."
Coastal | Hamptons,"['interior_sunroom', 'exterior_porch', 'exterior_balcony']",Apply a Coastal Hamptons aesthetic. Use a palette of crisp whites and soft blues. Furnish with high-quality wicker or rattan furniture topped with comfortable cushions. Include beadboard details and natural fiber rugs (jute/sisal). Keep it airy and breezy.
Modern Lounge,"['interior_sunroom', 'interior_living_room', 'exterior_rooftop']","Create a Modern Sunroom Lounge. Treat this space as a seamless extension of a modern home. Use sleek, low-profile furniture that doesn't obstruct the view. Incorporate black-framed windows and polished concrete or light wood flooring. Keep decor minimal to focus on the outdoors."
Rustic Beam Cabin,"['interior_attic', 'interior_bedroom', 'interior_living_room']","Transform this attic into a Rustic Cabin retreat. Highlight the architectural structure by exposing heavy wooden beams. Use warm wood paneling on the ceiling or walls. Furnish with cozy, hearty textiles like wool and plaid. Create a warm, enclosed, and safe atmosphere."
Bright White Studio (Scandi),"['interior_attic', 'interior_office', 'interior_bedroom']",Design a Bright Scandi Studio. Paint all walls and sloped ceilings pure white to reflect light and open up the cramped space. Use light oak flooring. Install skylights if possible. Keep furniture minimal and functional to maximize the usable floor area.
Cozy Reading Nook,"['interior_attic', 'interior_bedroom', 'interior_kids_room']","Create a Cozy Reading Nook. Utilize the low space under the sloped eaves for custom built-in shelving and a window seat or daybed. Layer with plenty of soft pillows and blankets. Focus on creating an intimate, quiet hideaway."
Modern Real Estate Staging (Neutral),"['interior_empty', 'interior_living_room', 'interior_bedroom', 'floor_plan_3d']","Virtually stage this empty room for Real Estate marketing. Use a 'Modern Transitional' style with a neutral color palette (beiges, greys, whites) to appeal to the widest audience. select perfectly scaled furniture that shows off the room's potential without cluttering it. Ensure lighting is bright and inviting."
Luxury Renovation Visualization,"['interior_empty', 'interior_living_room', 'interior_kitchen']","Transform this empty shell into a High-End Luxury space. Upgrade the finishes: visualize herringbone wood flooring and wall moldings/wainscoting. Furnish with sophisticated, expensive-looking pieces (velvet, brass, marble). The goal is to show the maximum value potential of the property."
Minimalist Potential (White Box),"['interior_empty', 'commercial_office', 'commercial_retail']","Stage this room with a strict Minimalist aesthetic. Use only a few key pieces of iconic furniture to establish scale. Keep the walls stark white and the floors bare or simple. The goal is to highlight the architectural volume and natural light of the space, rather than the furniture."
Grand Traditional (First Impression),"['interior_entryway', 'interior_hallway', 'commercial_lobby']","Design a Grand Traditional foyer. Focus on symmetry and elegance. Use premium flooring like marble (checkered or bordered). Place a central round table with floral arrangements if space permits, or a curated console table with a large mirror. Install a statement chandelier."
Modern Functional (Mudroom Hybrid),"['interior_entryway', 'interior_laundry_room', 'interior_hallway']",Apply a Modern Functional design. Prioritize organization. Include built-in seating (bench) with shoe storage. Use wall hooks or a sleek coat rack. Keep lines clean and simple with a large mirror to check appearance before leaving. Use durable flooring.
Boho Warmth,"['interior_entryway', 'interior_hallway', 'interior_sunroom']","Create a Boho Warmth entryway. Use a vintage timber console table and a colorful, patterned runner rug (kilim or Persian). Add texture with wicker baskets for storage and hanging plants. The lighting should be warm and inviting."
Art Gallery Style,"['interior_hallway', 'interior_entryway', 'commercial_office']","Transform this hallway into an Art Gallery. Keep walls crisp white. Install a series of uniform picture frames (gallery wall) or large statement art. crucial: Use directional track lighting or wall sconces to specifically highlight the artwork, creating drama and rhythm."
Bright Scandi (Widening),"['interior_hallway', 'interior_entryway', 'interior_bedroom']",Apply a Bright Scandi aesthetic. The goal is to make the hallway feel wider and lighter. Use pale wood flooring and off-white wall paint. Add a light-colored runner rug to guide the eye. Use mirrors strategically to reflect light and expand the perceived space.
Classic Wainscoting,"['interior_hallway', 'interior_entryway', 'interior_dining_room']","Design a Classic hallway with wainscoting. Install architectural molding—either beadboard, board-and-batten, or chair rails—on the lower half of the walls (painted white). Use a contrasting soft color or wallpaper above. Add classic wall sconces."
Modern Floating Glass,"['interior_staircase', 'interior_entryway', 'interior_living_room']",Redesign this staircase in a Modern Floating style. Use 'floating' treads (cantilevered or open riser) to maximize light flow. Install a frameless glass balustrade for a seamless look. Use high-contrast materials like oak treads against white walls.
Traditional Elegant (Runner),"['interior_staircase', 'interior_entryway', 'interior_hallway']","Apply a Traditional Elegant design. Contrast dark wood treads with crisp white painted risers. Install a patterned carpet runner down the center, secured with metallic stair rods (brass or nickel). Use classic turned spindles for the banister."
Industrial Steel,"['interior_staircase', 'interior_game_room', 'interior_home_gym']",Create an Industrial staircase. Use a heavy steel structure (blackened metal stringers). Use reclaimed wood or metal grating for the treads. Install a cable railing system or horizontal metal bars. Expose adjacent brick or concrete walls.
Tech Startup (Open Plan),"['commercial_office', 'commercial_conference', 'interior_game_room']",Design a Modern Tech Startup office. Embrace an open-plan layout with rows of shared white bench desks. Use industrial elements like polished concrete floors and exposed ceilings. Add acoustic baffles or clouds overhead. Inject energy with pops of vibrant color and collaborative breakout zones.
Corporate Professional,"['commercial_office', 'commercial_conference', 'commercial_lobby']","Apply a Corporate Professional aesthetic. Focus on privacy and acoustics. Use glass partitions to define offices while keeping light flow. Install high-quality commercial carpeting to dampen sound. Stick to a neutral, professional color palette (greys, blues, beiges) that conveys stability."
Biophilic Design (Green Office),"['commercial_office', 'commercial_lobby', 'interior_sunroom']","Create a Biophilic workspace. The priority is employee wellness and connection to nature. Install a living green wall or abundant potted plants. Use natural materials like wood, cork, and stone. Maximize natural light and use organic, curved shapes in the furniture."
The Glass Fishbowl (Modern),"['commercial_conference', 'commercial_office']","Design a Modern 'Glass Fishbowl' meeting room. Use floor-to-ceiling glass walls to enclose the space. Center a sleek, white or glass boat-shaped table. Equip with high-end ergonomic leather chairs. Emphasize technology with a large, integrated video conferencing display."
Executive Boardroom (Traditional),"['commercial_conference', 'interior_dining_room']","Create an Executive Boardroom. Use rich, dark wood paneling and a massive, solid wood conference table to convey authority. Select heavy, high-back upholstered chairs. The lighting should be focused on the table surface, creating a serious, high-stakes atmosphere."
Creative Huddle Space,"['commercial_conference', 'commercial_office', 'interior_game_room']","Design a Creative Huddle Space. Abandon the formal table; use lounge seating, bean bags, or high-top stools. Make the walls functional (floor-to-ceiling whiteboards or glass writing surfaces). Use vibrant colors to stimulate energy and brainstorming."
Minimalist Boutique,"['commercial_retail', 'interior_walkin_closet', 'commercial_lobby']","Apply a Minimalist Boutique aesthetic. Treat the product like art in a gallery. Use stark, clean backgrounds (white walls, concrete floors). Use minimal shelving and racks—avoid overcrowding. Use dramatic spotlighting to highlight specific items."
Industrial Streetwear,"['commercial_retail', 'commercial_restaurant']","Create an Industrial Streetwear store. Use raw urban materials like chain-link fencing, scaffolding, and concrete. distinct sneaker walls with backlighting. Incorporate street art or graffiti elements and neon signage. The vibe should be edgy and hype-driven."
Modern Contemporary,"['exterior_facade', 'exterior_backyard', 'exterior_rooftop']","Redesign the exterior in a Modern Contemporary style. Use geometric box-like forms and flat roofs. Mix materials like cedar wood siding, smooth concrete, and matte black metal. Install large floor-to-ceiling windows to connect indoor and outdoor spaces."
Modern Farmhouse Exterior,"['exterior_facade', 'exterior_porch', 'exterior_backyard']",Apply a Modern Farmhouse exterior aesthetic. Use white vertical board-and-batten siding. Install a high-contrast black standing-seam metal roof or black shingles. Use black window frames and rustic timber accents (columns or headers). Keep the look crisp and high-contrast.
Spanish / Mediterranean,"['exterior_facade', 'exterior_pool', 'exterior_patio']","Transform this exterior into a Spanish / Mediterranean style. Apply warm white or cream stucco texture to the walls. Use red terracotta barrel tiles for the roof. Incorporate arched windows, wrought iron details, and perhaps some decorative tile work around the entrance."
Craftsman,"['exterior_facade', 'exterior_porch']","Design a Craftsman style exterior. Emphasize the front porch with thick, tapered columns (often sitting on stone piers). Use a mix of siding and shingles in earth tones (greens, blues, browns). Highlight architectural details like exposed roof rafters and wide eaves."
Mid-Century Modern,"['exterior_facade', 'exterior_backyard']","Apply a Mid-Century Modern exterior design. Use low-pitched or flat roofs with wide, overhanging eaves. Incorporate clerestory windows. Use a material palette of brick, wood, and glass. Add a pop of color to the front door (orange or teal)."
Modern Oasis (Concrete & Fire),"['exterior_backyard', 'exterior_patio', 'exterior_rooftop']","Design a Modern Backyard Oasis. Use large-format concrete pavers with grass or gravel grout lines. Install a sleek, rectangular gas fire pit as the focal point. Furnish with modern, weather-resistant sofas. Keep landscaping structural and minimal."
Rustic Outdoor Living (Pergola),"['exterior_backyard', 'exterior_patio', 'exterior_porch']","Create a Rustic Outdoor Living space. Build a wooden pergola to define the area and provide shade. Use natural flagstone for the patio surface. Incorporate a stone outdoor fireplace or pizza oven. Furnish with a large, sturdy wooden dining table."
English Cottage Garden,"['exterior_backyard', 'exterior_garden']","Apply an English Cottage Garden style. Avoid rigid straight lines; use winding gravel or brick paths. Fill flower beds with an abundance of mixed flowers (roses, lavender, foxgloves) for a wild, lush look. Use vintage wrought-iron furniture."
Xeriscaping (Desert Modern),"['exterior_garden', 'exterior_facade', 'exterior_backyard']","Design a Xeriscape (Desert Modern) garden. Remove water-hungry lawns and replace them with decorative gravel or decomposed granite. Plant drought-tolerant species like agave, yucca, and succulents. Use Corten steel or concrete planters for architectural structure."
Zen Garden (Japanese),"['exterior_garden', 'exterior_backyard', 'interior_sunroom']","Create a Japanese Zen Garden. Use elements like raked sand or gravel to represent water. Place large, mossy rocks deliberately. Plant Japanese maples, bamboo, and shaped evergreens. Focus on asymmetry, balance, and tranquility."
Formal French,"['exterior_garden', 'exterior_facade', 'exterior_backyard']",Apply a Formal French Garden design. Focus on strict symmetry and geometry. Use manicured boxwood hedges to create parterres or borders. Include a central water feature or statue. Keep pathways straight and defined with crushed stone.
Modern Infinity,"['exterior_pool', 'exterior_backyard']","Design a Modern Infinity Pool. The water should appear flush with the deck (knife-edge or perimeter overflow) for a mirror-like effect. Use light-colored stone coping (limestone or travertine). Keep the surrounding deck uncluttered with sleek, modern loungers."
Tropical Lagoon,"['exterior_pool', 'exterior_backyard']","Create a Tropical Lagoon pool. Use a freeform, organic shape rather than a rectangle. Incorporate natural boulders and a waterfall feature. Use a darker plaster finish to make the water look deep and ocean-like. Surround with dense tropical landscaping."
